t,v_closed,a_cmd_closed,throttle_closed,brake_closed,v_open
3.4,6.88782735407,2,0.880075149582,0,7.90626081817
3.45,6.9882042,2,0.882956065107,0,7.90696260414
3.5,7.08856937938,2,0.88583775807,0,7.90753292736
3.55,7.18892325338,1.99218442128,0.88751223242,0,7.90799641421
3.6,7.28887539306,1.88223706763,0.873354404891,0,7.90837307792
3.65,7.38330782547,1.77836139198,0.859502061539,0,7.90867918273
3.7,7.47237126551,1.68039160793,0.846436730204,0,7.90892794614
3.75,7.55637078547,1.58799213599,0.834128817067,0,7.9091301097
3.8,7.63559901604,1.50084108236,0.822534611564,0,7.90929440277
3.85,7.71033169653,1.41863513382,0.811612445285,0,7.90942791948
3.9,7.7808284943,1.34108865627,0.801323075284,0,7.90953642504
3.95,7.84733394048,1.26793266548,0.791629558161,0,7.90962460468
4,7.91007831617,1.19891385222,0.782497115582,0,7.90969626598
4.05,7.96927848681,1.13379366451,0.773893007164,0,7.90975450326
4.1,8.02513868757,1.07234744367,0.76578641082,0,7.90980183118
4.15,8.07785126267,1.01436361106,0.758148310143,0,7.90984029336
4.2,8.12759736128,0.959642902592,0.75095138839,0,7.90987155056
4.25,8.17454759263,0.907997648106,0.744169928718,0,7.90989695248
4.3,8.21886264265,0.859251093082,0.737779720266,0,7.90991759596
4.35,8.26069385446,0.813236760099,0.731757969762,0,7.90993437238
4.4,8.30018377475,0.769797847777,0.726083218327,0,7.90994800614
4.45,8.33746666821,0.728786664969,0.720735263161,0,7.90995908594
4.5,8.3726690017,0.690064098135,0.715695083838,0,7.90996809021
4.55,8.40590990003,0.653499109965,0.710944772924,0,7.90997540774
4.6,8.4373015751,0.618968267387,0.706467470678,0,7.90998135451
4.65,8.46694972976,0.586355297265,0.702247303583,0,7.9099861873
4.7,8.49495393806,0.555550668135,0.698269326495,0,7.90999011477
4.75,8.52140800321,0.526451196471,0.694519468184,0,7.90999330653
4.8,8.54640029453,0.498959676019,0.69098448008,0,7.90999590039
4.85,8.57001406466,0.472984528869,0.687651888024,0,7.90999800836
4.9,8.59232774822,0.448439476959,0.684509946858,0,7.90999972144
4.95,8.61341524287,0.425243232847,0.681547597679,0,7.91000111362
5,8.63334617402,0.403319208581,0.678754427602,0,7.91000224501
5.05,8.65218614396,0.382595241639,0.676120631895,0,7.91000316446
5.1,8.66999696644,0.363003336912,0.673636978324,0,7.91000391168
5.15,8.68683688745,0.344479423805,0.671294773604,0,7.91000451892
5.2,8.70276079313,0.326963127555,0.669085831812,0,7.91000501241
5.25,8.71782040551,0.310397553943,0.66700244466,0,7.91000541345
5.3,8.73206446672,0.294729086606,0.665037353508,0,7.91000573937
5.35,8.74553891253,0.279907196217,0.663183723026,0,7.91000600424
5.4,8.75828703561,0.265884260827,0.661435116397,0,7.91000621949
5.45,8.77034963934,0.252615396721,0.65978547198,0,7.91000639442
5.5,8.78176518257,0.240058299172,0.658229081339,0,7.91000653658
5.55,8.7925699159,0.228173092507,0.656760568562,0,7.91000665211
5.6,8.80279801005,0.216922188942,0.655374870799,0,7.91000674599
5.65,8.81248167666,0.206270155669,0.654067219934,0,7.91000682229
5.7,8.82165128207,0.196183589722,0.652833125338,0,7.9100068843
5.75,8.83033545441,0.186631000144,0.651668357634,0,7.91000693469
5.8,8.8385611845,0.177582697047,0.65056893341,0,7.91000697564
5.85,8.84635392077,0.169010687158,0.649531100836,0,7.91000700892
5.9,8.85373765868,0.160888575456,0.648551326115,0,7.91000703597
5.95,8.86073502495,0.15319147256,0.64762628074,0,7.91000705795
6,8.8673673568,0.145895907525,0.646752829491,0,7.91000707581
6.05,8.87365477661,0.138979745724,0.645928019134,0,7.91000709033
6.1,8.87961626225,0.132422111526,0.645149067791,0,7.91000710213
